,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
0,0.1%,0.1%,1.4%,13.6%,84.8%,蒂姆·罗宾斯,1707204,['\n        '],"['1994-09-10(多伦多电影节)', '1994-10-14(美国)']",弗兰克·德拉邦特,['\n        '],肖申克的救赎 The Shawshank Redemption,9.7,弗兰克·德拉邦特,142分钟,"['剧情', '犯罪']"
1,0.2%,0.5%,4.9%,25.4%,69.1%,蒂姆·罗斯,1043152,['\n        '],"['2019-11-15(中国大陆)', '1998-10-28(意大利)']",朱塞佩·托纳多雷,['\n        '],海上钢琴师 La leggenda del pianista sull'oceano,9.3,亚利桑德罗·巴里克,165分钟,"['剧情', '音乐']"
2,0.1%,0.1%,2.1%,16.0%,81.6%,张国荣,1262494,['\n        '],"['1993-01-01(中国香港)', '1993-07-26(中国大陆)']",陈凯歌,['\n        '],霸王别姬,9.6,芦苇,171 分钟,"['剧情', '爱情', '同性']"
3,0.1%,0.2%,3.2%,22.5%,74.1%,让·雷诺,1513066,['\n        '],['1994-09-14(法国)'],吕克·贝松,['\n        '],这个杀手不太冷 Léon,9.4,吕克·贝松,110分钟(剧场版),"['剧情', '动作', '犯罪']"
4,0.1%,0.2%,2.8%,20.7%,76.2%,汤姆·汉克斯,1319347,['\n        '],"['1994-06-23(洛杉矶首映)', '1994-07-06(美国)']",罗伯特·泽米吉斯,['\n        '],阿甘正传 Forrest Gump,9.5,艾瑞克·罗斯,142分钟,"['剧情', '爱情']"
5,0.1%,0.2%,3.8%,22.5%,73.4%,莱昂纳多·迪卡普里奥,1255806,['\n        '],"['1998-04-03(中国大陆)', '1997-11-01(东京电影节)', '1997-12-19(美国)']",詹姆斯·卡梅隆,['\n        '],泰坦尼克号 Titanic,9.4,詹姆斯·卡梅隆,194分钟,"['剧情', '爱情', '灾难']"
6,0.1%,0.2%,3.8%,24.3%,71.6%,柊瑠美,1344895,['\n        '],"['2019-06-21(中国大陆)', '2001-07-20(日本)']",宫崎骏,['\n        '],千与千寻 千と千尋の神隠し,9.3,宫崎骏,125分钟,"['剧情', '动画', '奇幻']"
7,0.1%,0.2%,3.9%,25.3%,70.4%,莱昂纳多·迪卡普里奥,1286903,['\n        '],"['2010-09-01(中国大陆)', '2010-07-16(美国)']",克里斯托弗·诺兰,[' '],盗梦空间 Inception,9.3,克里斯托弗·诺兰,148分钟,"['剧情', '科幻', '悬疑', '冒险']"
8,0.1%,0.2%,5.1%,30.5%,64.1%,金妮弗·古德温,1067464,['\n        '],['2016-03-04(中国大陆/美国)'],拜伦·霍华德,['\n        '],疯狂动物城 Zootopia,9.2,拜伦·霍华德,109分钟(中国大陆),"['喜剧', '动画', '冒险']"
9,0.1%,0.3%,4.3%,23.0%,72.3%,理查·基尔,871731,['\n        '],"['2009-06-13(西雅图电影节)', '2010-03-12(英国)']",拉斯·霍尔斯道姆,['\n        '],忠犬八公的故事 Hachi: A Dog's Tale,9.3,斯蒂芬·P·林赛,93分钟,['剧情']
10,0.1%,0.2%,2.3%,17.6%,79.8%,罗伯托·贝尼尼,770701,['\n        '],['1997-12-20(意大利)'],罗伯托·贝尼尼,[' '],美丽人生 La vita è bella,9.5,温琴佐·切拉米,116分钟,"['剧情', '喜剧', '爱情', '战争']"
11,0.2%,0.4%,6.5%,33.2%,59.7%,阿米尔·汗,937373,['\n        '],"['2017-05-05(中国大陆)', '2016-12-23(印度)']",涅提·蒂瓦里,[' '],摔跤吧！爸爸 Dangal,9.0,比于什·古普塔,161分钟(印度),"['剧情', '家庭', '传记', '运动']"
12,0.3%,0.6%,5.4%,25.9%,67.8%,阿米尔·汗,1167031,['\n        '],"['2011-12-08(中国大陆)', '2009-12-25(印度)']",拉吉库马尔·希拉尼,[' '],三傻大闹宝莱坞 3 Idiots,9.2,维德胡·维诺德·乔普拉,171分钟(印度),"['剧情', '喜剧', '爱情', '歌舞']"
13,0.1%,0.2%,4.2%,27.8%,67.7%,金·凯瑞,917319,['\n        '],['1998-06-05(美国)'],彼得·威尔,['\n        '],楚门的世界 The Truman Show,9.3,安德鲁·尼科尔,103分钟,"['剧情', '科幻']"
