,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
0,6.7%,28.3%,48.3%,10.0%,6.7%,田川,326,['\n        '],['2019-05-21(中国大陆)'],杨龙,['\n        '],狂怒的金佛,5.6,杨龙,87分钟,['剧情']
1,0.0%,2.5%,29.4%,48.0%,20.1%,诺亚·尤佩,324,['\n        '],"['2019-01-25(圣丹斯电影节)', '2019-11-08(美国)']",阿尔玛·哈勒,['\n        '],宝贝男孩 Honey Boy,7.7,希亚·拉博夫,93分钟,['剧情']
2,0.4%,5.0%,38.7%,42.0%,13.9%,比尔·奈伊,288,['\n        '],"['2018-10-12(伦敦电影节)', '2019-06-14(英国)']",卡尔·亨特,['\n        '],"有时候，永远不 Sometimes, Always Never",7.3,弗兰克·科特雷尔·博伊斯,91分钟,['剧情']
3,1.6%,5.4%,27.8%,46.0%,19.2%,桑尼·库普斯·范·乌特伦,409,['\n        '],"['2019-02-07(柏林国际电影节)', '2019-07-03(荷兰)']",史蒂文·沃特卢德,['\n        '],非凡夏日 My Extraordinary Summer with Tess,7.5,劳拉·范·迪克,82分钟,['家庭']
4,3.9%,9.3%,47.8%,28.7%,10.4%,高良健吾,437,['\n        '],['2019-07-19(日本)'],安里麻里,['\n        '],我在你床下 アンダー・ユア・ベッド,6.6,大石圭,98分钟,"['惊悚', '恐怖']"
5,1.2%,5.1%,24.1%,44.7%,24.9%,帕特里克·德阿萨姆曹,321,['\n        '],"['2018-11-19(贝尔福采访电影节)', '2019-02-11(柏林国际电影节)']",玛丽恩·阿特兰,['\n        '],丹尼尔的脸 Daniel fait face,7.7,玛丽恩·阿特兰,59分钟,['剧情']
6,1.6%,6.5%,41.1%,40.9%,10.0%,亚当·德赖弗,644,['\n        '],"['2019-01-26(圣丹斯电影节)', '2019-11-15(美国)']",斯科特·Z·本恩斯,['\n        '],酷刑报告 The Report,7.0,斯科特·Z·本恩斯,118分钟(圣丹斯电影节),['剧情']
7,2.8%,11.9%,56.2%,23.6%,5.5%,欧嘉·柯瑞兰寇,772,['\n        '],"['2019-04-15(布鲁塞尔国际奇幻影展)', '2019-09-12(葡萄牙)']",克里斯蒂安·福克曼,['\n        '],心愿房间 The Room,6.3,萨布丽娜·卡琳,100分钟,"['剧情', '科幻', '悬疑']"
8,5.5%,34.1%,45.7%,10.1%,4.6%,玉森裕太,418,['\n        '],['2019-05-31(日本)'],森义隆,['\n        '],平行世界·爱情故事 パラレルワールド・ラブストーリー,5.5,东野圭吾,108分钟,['爱情']
9,5.8%,22.2%,53.7%,13.6%,4.7%,宋清晨,317,['\n        '],"['2018-06-29(富川电影节)', '2019-07-10(韩国)']",高政煜,['\n        '],真犯 진범,5.8,高政煜,100分钟,['悬疑']
10,3.2%,9.6%,45.5%,30.9%,10.8%,安田显,420,[],['2019-02-22(日本)'],大森立嗣,['\n        '],母亲去世时，我甚至想吃掉她的遗骨 母を亡くした時、僕は遺骨を食べたいと思った。,6.7,大森立嗣,108分钟,[]
11,0.4%,1.4%,19.1%,51.9%,27.2%,维克图瓦尔·杜布瓦,1952,['\n        '],"['2019-05-17(戛纳电影节)', '2019-11-06(法国)']",杰赫米·克拉潘,['\n        '],我失去了身体 J'ai perdu mon corps,8.1,杰赫米·克拉潘,81分钟,['动画']
12,1.2%,4.4%,45.0%,35.7%,13.7%,海伦娜·伯翰·卡特,329,['\n        '],['2018-04-13(美国)'],Richard Lanni,['\n        '],斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero,7.1,Richard Lanni,84分钟,['动画']
13,6.7%,28.3%,48.3%,10.0%,6.7%,田川,326,['\n        '],['2019-05-21(中国大陆)'],杨龙,['\n        '],狂怒的金佛,5.6,杨龙,87分钟,['剧情']
14,0.0%,2.5%,29.4%,48.0%,20.1%,诺亚·尤佩,324,['\n        '],"['2019-01-25(圣丹斯电影节)', '2019-11-08(美国)']",阿尔玛·哈勒,['\n        '],宝贝男孩 Honey Boy,7.7,希亚·拉博夫,93分钟,['剧情']
15,0.4%,5.0%,38.7%,42.0%,13.9%,比尔·奈伊,288,['\n        '],"['2018-10-12(伦敦电影节)', '2019-06-14(英国)']",卡尔·亨特,['\n        '],"有时候，永远不 Sometimes, Always Never",7.3,弗兰克·科特雷尔·博伊斯,91分钟,['剧情']
16,1.6%,5.4%,27.8%,46.0%,19.2%,桑尼·库普斯·范·乌特伦,409,['\n        '],"['2019-02-07(柏林国际电影节)', '2019-07-03(荷兰)']",史蒂文·沃特卢德,['\n        '],非凡夏日 My Extraordinary Summer with Tess,7.5,劳拉·范·迪克,82分钟,['家庭']
17,3.9%,9.3%,47.8%,28.7%,10.4%,高良健吾,437,['\n        '],['2019-07-19(日本)'],安里麻里,['\n        '],我在你床下 アンダー・ユア・ベッド,6.6,大石圭,98分钟,"['惊悚', '恐怖']"
18,1.2%,5.1%,24.1%,44.7%,24.9%,帕特里克·德阿萨姆曹,321,['\n        '],"['2018-11-19(贝尔福采访电影节)', '2019-02-11(柏林国际电影节)']",玛丽恩·阿特兰,['\n        '],丹尼尔的脸 Daniel fait face,7.7,玛丽恩·阿特兰,59分钟,['剧情']
19,1.6%,6.5%,41.1%,40.9%,10.0%,亚当·德赖弗,644,['\n        '],"['2019-01-26(圣丹斯电影节)', '2019-11-15(美国)']",斯科特·Z·本恩斯,['\n        '],酷刑报告 The Report,7.0,斯科特·Z·本恩斯,118分钟(圣丹斯电影节),['剧情']
20,2.8%,11.9%,56.2%,23.6%,5.5%,欧嘉·柯瑞兰寇,772,['\n        '],"['2019-04-15(布鲁塞尔国际奇幻影展)', '2019-09-12(葡萄牙)']",克里斯蒂安·福克曼,['\n        '],心愿房间 The Room,6.3,萨布丽娜·卡琳,100分钟,"['剧情', '科幻', '悬疑']"
21,5.5%,34.1%,45.7%,10.1%,4.6%,玉森裕太,418,['\n        '],['2019-05-31(日本)'],森义隆,['\n        '],平行世界·爱情故事 パラレルワールド・ラブストーリー,5.5,东野圭吾,108分钟,['爱情']
22,5.8%,22.2%,53.7%,13.6%,4.7%,宋清晨,317,['\n        '],"['2018-06-29(富川电影节)', '2019-07-10(韩国)']",高政煜,['\n        '],真犯 진범,5.8,高政煜,100分钟,['悬疑']
23,3.2%,9.6%,45.5%,30.9%,10.8%,安田显,420,[],['2019-02-22(日本)'],大森立嗣,['\n        '],母亲去世时，我甚至想吃掉她的遗骨 母を亡くした時、僕は遺骨を食べたいと思った。,6.7,大森立嗣,108分钟,[]
24,0.4%,1.4%,19.1%,51.9%,27.2%,维克图瓦尔·杜布瓦,1952,['\n        '],"['2019-05-17(戛纳电影节)', '2019-11-06(法国)']",杰赫米·克拉潘,['\n        '],我失去了身体 J'ai perdu mon corps,8.1,杰赫米·克拉潘,81分钟,['动画']
25,1.2%,4.4%,45.0%,35.7%,13.7%,海伦娜·伯翰·卡特,329,['\n        '],['2018-04-13(美国)'],Richard Lanni,['\n        '],斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero,7.1,Richard Lanni,84分钟,['动画']
26,6.7%,28.3%,48.3%,10.0%,6.7%,田川,326,['\n        '],['2019-05-21(中国大陆)'],杨龙,['\n        '],狂怒的金佛,5.6,杨龙,87分钟,['剧情']
27,0.0%,2.5%,29.4%,48.0%,20.1%,诺亚·尤佩,324,['\n        '],"['2019-01-25(圣丹斯电影节)', '2019-11-08(美国)']",阿尔玛·哈勒,['\n        '],宝贝男孩 Honey Boy,7.7,希亚·拉博夫,93分钟,['剧情']
28,0.4%,5.0%,38.7%,42.0%,13.9%,比尔·奈伊,288,['\n        '],"['2018-10-12(伦敦电影节)', '2019-06-14(英国)']",卡尔·亨特,['\n        '],"有时候，永远不 Sometimes, Always Never",7.3,弗兰克·科特雷尔·博伊斯,91分钟,['剧情']
29,1.6%,5.4%,27.8%,46.0%,19.2%,桑尼·库普斯·范·乌特伦,409,['\n        '],"['2019-02-07(柏林国际电影节)', '2019-07-03(荷兰)']",史蒂文·沃特卢德,['\n        '],非凡夏日 My Extraordinary Summer with Tess,7.5,劳拉·范·迪克,82分钟,['家庭']
30,3.9%,9.3%,47.8%,28.7%,10.4%,高良健吾,437,['\n        '],['2019-07-19(日本)'],安里麻里,['\n        '],我在你床下 アンダー・ユア・ベッド,6.6,大石圭,98分钟,"['惊悚', '恐怖']"
31,1.2%,5.1%,24.1%,44.7%,24.9%,帕特里克·德阿萨姆曹,321,['\n        '],"['2018-11-19(贝尔福采访电影节)', '2019-02-11(柏林国际电影节)']",玛丽恩·阿特兰,['\n        '],丹尼尔的脸 Daniel fait face,7.7,玛丽恩·阿特兰,59分钟,['剧情']
32,1.6%,6.5%,41.1%,40.9%,10.0%,亚当·德赖弗,644,['\n        '],"['2019-01-26(圣丹斯电影节)', '2019-11-15(美国)']",斯科特·Z·本恩斯,['\n        '],酷刑报告 The Report,7.0,斯科特·Z·本恩斯,118分钟(圣丹斯电影节),['剧情']
33,2.8%,11.9%,56.2%,23.6%,5.5%,欧嘉·柯瑞兰寇,772,['\n        '],"['2019-04-15(布鲁塞尔国际奇幻影展)', '2019-09-12(葡萄牙)']",克里斯蒂安·福克曼,['\n        '],心愿房间 The Room,6.3,萨布丽娜·卡琳,100分钟,"['剧情', '科幻', '悬疑']"
